,authors,title,venue,type,year,access,key,ee
677,"Cong Zhang,Kang Wang,Hongbo Bi,Ziqi Liu,Lina Yang",Camouflaged object detection via Neighbor Connection and Hierarchical Information Transfer.,Comput. Vis. Image Underst.,Journal Articles,2022,closed,journals/cviu/ZhangWBLY22,https://doi.org/10.1016/j.cviu.2022.103450
678,"Qiang Zhang 0020,Ruida Xi,Tonglin Xiao,Nianchang Huang,Yongjiang Luo",Enabling modality interactions for RGB-T salient object detection.,Comput. Vis. Image Underst.,Journal Articles,2022,closed,journals/cviu/ZhangXXHL22,https://doi.org/10.1016/j.cviu.2022.103514
679,"Keren Fu,Yao Jiang,Ge-Peng Ji,Tao Zhou 0002,Qijun Zhao,Deng-Ping Fan",Light field salient object detection: A review and benchmark.,Comput. Vis. Media,Journal Articles,2022,open,journals/cvm/FuJJ0ZF22,https://doi.org/10.1007/s41095-021-0256-2
680,"Yuqing Lan,Yao Duan,Chenyi Liu,Chenyang Zhu 0002,Yueshan Xiong,Hui Huang 0004,Kai Xu 0004",ARM3D: Attention-based relation module for indoor 3D object detection.,Comput. Vis. Media,Journal Articles,2022,open,journals/cvm/LanDLZXHX22,https://doi.org/10.1007/s41095-021-0252-6
681,"Jullian Dominic Ducut,Melchizedek I. Alipio,Phoebe Joanne Go,Ronnie Concepcion II,Ryan Rhay Vicerra,Argel A. Bandala,Elmer P. Dadios",A Review of Electrical Resistivity Tomography Applications in Underground Imaging and Object Detection.,Displays,Journal Articles,2022,closed,journals/displays/DucutAGCVBD22,https://doi.org/10.1016/j.displa.2022.102208
682,"Jianing Quan,Baozhen Ge,Lei Chen",Cross attention redistribution with contrastive learning for few shot object detection.,Displays,Journal Articles,2022,closed,journals/displays/QuanGC22,https://doi.org/10.1016/j.displa.2022.102162
683,"Xin Song,Ziqiang Qi,Jianlin Zhu,Shuhua Li",A cross frame post-processing strategy for video object detection.,Displays,Journal Articles,2022,closed,journals/displays/SongQZL22,https://doi.org/10.1016/j.displa.2022.102230
684,"Jiacheng Zhang,Huafeng Liu 0004,Jianfeng Lu 0003",A semi-supervised 3D object detection method for autonomous driving.,Displays,Journal Articles,2022,closed,journals/displays/ZhangLL22,https://doi.org/10.1016/j.displa.2021.102117
685,"Jing Liu,Jiaxiang Wang,Weikang Wang,Yuting Su",DS-Net: Dynamic spatiotemporal network for video salient object detection.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/LiuWWS22,https://doi.org/10.1016/j.dsp.2022.103700
686,"Jing Liu 0002,Min Yuan,Xiangdong Huang,Yuting Su,Xiaokang Yang",DIPONet: Dual-information progressive optimization network for salient object detection.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/LiuYHSY22,https://doi.org/10.1016/j.dsp.2022.103425
687,"Zubair Ahmad Lone,Alwyn Roshan Pais",Object detection in hyperspectral images.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/LoneP22,https://doi.org/10.1016/j.dsp.2022.103752
688,"Yanguang Sun,Chenxing Xia,Xiuju Gao,Hong Yan,Bin Ge,Kuan-Ching Li",Aggregating dense and attentional multi-scale feature network for salient object detection.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/SunXGYGL22,https://doi.org/10.1016/j.dsp.2022.103747
689,"Chenxing Xia,Songsong Duan,Xianjin Fang,Xiuju Gao,Yanguang Sun,Bin Ge,Hanling Zhang,Kuan-Ching Li",EFGNet: Encoder steered multi-modality feature guidance network for RGB-D salient object detection.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/XiaDFGSGZL22,https://doi.org/10.1016/j.dsp.2022.103775
690,"Syed Sahil Abbas Zaidi,Mohammad Samar Ansari,Asra Aslam,Nadia Kanwal,Mamoona Naveed Asghar,Brian Lee 0001",A survey of modern deep learning based object detection models.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/ZaidiAAKAL22,https://doi.org/10.1016/j.dsp.2022.103514
691,"Prabhjot Kaur,Shilpi Harnal,Vinay Gautam 0002,Mukund Pratap Singh,Santar Pal Singh",An approach for characterization of infected area in tomato leaf disease based on deep learning and object detection technique.,Eng. Appl. Artif. Intell.,Journal Articles,2022,closed,journals/eaai/KaurHGSS22,https://doi.org/10.1016/j.engappai.2022.105210
692,"Juanjuan Ma,Quan Pan,Yaning Guo",Depth-first random forests with improved Grassberger entropy for small object detection.,Eng. Appl. Artif. Intell.,Journal Articles,2022,closed,journals/eaai/MaPG22,https://doi.org/10.1016/j.engappai.2022.105138
693,"Jie Wang,Kechen Song,Yanqi Bao,Yunhui Yan,Yahong Han",Unidirectional RGB-T salient object detection with intertwined driving of encoding and fusion.,Eng. Appl. Artif. Intell.,Journal Articles,2022,closed,journals/eaai/WangSBYH22,https://doi.org/10.1016/j.engappai.2022.105162
694,"Binyu Zhang,Junfeng Wan,Yanyun Zhao,Zhihang Tong,Yunhao Du",Multi-actor activity detection by modeling object relationships in extended videos based on deep learning.,Eng. Appl. Artif. Intell.,Journal Articles,2022,closed,journals/eaai/ZhangWZTD22,https://doi.org/10.1016/j.engappai.2022.105055
695,"Shih-Hung Wu,Hsueh-Wen Chang,Ruey-Shing Lin,Mao-Ning Tuanmu",SILIC: A cross database framework for automatically extracting robust biodiversity information from soundscape recordings based on object detection and a tiny training dataset.,Ecol. Informatics,Journal Articles,2022,open,journals/ecoi/WuCLT22,https://doi.org/10.1016/j.ecoinf.2021.101534
696,"Hang Zhang,Rayan S. Cloutier",Review on One-Stage Object Detection Based on Deep Learning.,EAI Endorsed Trans. e Learn.,Journal Articles,2022,open,journals/eeel/ZhangC22,https://doi.org/10.4108/eai.9-6-2022.174181
697,"Huaijin Liu,Jixiang Du,Yong Zhang,Hongbo Zhang",Performance analysis of different DCNN models in remote sensing image object detection.,EURASIP J. Image Video Process.,Journal Articles,2022,open,journals/ejivp/LiuDZZ22,https://doi.org/10.1186/s13640-022-00586-6
698,"Seongju Kang,Jaegi Hwang,Kwangsue Chung",Domain-Specific On-Device Object Detection Method.,Entropy,Journal Articles,2022,open,journals/entropy/KangHC22,https://doi.org/10.3390/e24010077
699,"Yingyu Wu,Ziyan Liu,Yunlei Chen,Xuhui Zheng,Qian Zhang,Mo Yang,Guang-Ming Tang",FCNet: Stereo 3D Object Detection with Feature Correlation Networks.,Entropy,Journal Articles,2022,open,journals/entropy/WuLCZZYT22,https://doi.org/10.3390/e24081121
700,"Iván García Aguilar,Rafael Marcos Luque Baena,Ezequiel López-Rubio",Improved detection of small objects in road network sequences using CNN and super resolution.,Expert Syst. J. Knowl. Eng.,Journal Articles,2022,closed,journals/es/AguilarBL22,https://doi.org/10.1111/exsy.12930
701,"K. Kala,N. Padmasini,B. Suresh Chander Kapali,P. G. Kuppusamy",A new framework for object detection using fastcnn- Naïve Bayes classifier for remote sensing image extraction.,Earth Sci. Informatics,Journal Articles,2022,closed,journals/esi/KalaPKK22,https://doi.org/10.1007/s12145-022-00834-3
702,"A. Azhagu Jaisudhan Pazhani,C. Vasanthanayaki",Object detection in satellite images by faster R-CNN incorporated with enhanced ROI pooling (FrRNet-ERoI) framework.,Earth Sci. Informatics,Journal Articles,2022,closed,journals/esi/PazhaniV22,https://doi.org/10.1007/s12145-021-00746-8
703,"Lin Bai 0002,Yiming Zhao,Xinming Huang 0001",Enabling 3-D Object Detection With a Low-Resolution LiDAR.,IEEE Embed. Syst. Lett.,Journal Articles,2022,closed,journals/esl/BaiZH22,https://doi.org/10.1109/LES.2022.3170298
704,"Yu-Hsiang Chiang,Cheng-En Ni,Yun Sung,Tuo-Hung Hou,Tian-Sheuan Chang,Shyh-Jye Jou",Hardware-Robust In-RRAM-Computing for Object Detection.,IEEE J. Emerg. Sel. Topics Circuits Syst.,Journal Articles,2022,closed,journals/esticas/ChiangNSHCJ22,https://doi.org/10.1109/JETCAS.2022.3171522
705,"Vinicius F. Arruda,Rodrigo Ferreira Berriel,Thiago M. Paixão,Claudine Badue,Alberto F. De Souza,Nicu Sebe,Thiago Oliveira-Santos",Cross-domain object detection using unsupervised image translation.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/ArrudaBPBSSO22,https://doi.org/10.1016/j.eswa.2021.116334
706,"Mirae Do,Seogkyu Jeon,Pilhyeon Lee,Kibeom Hong,Yu-seung Ma,Hyeran Byun",Exploiting domain transferability for collaborative inter-level domain adaptive object detection.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/DoJLHMB22,https://doi.org/10.1016/j.eswa.2022.117697
707,"Haoqin Ji,Kai Ye 0004,Qi Wan,Linlin Shen",Reasonable object detection guided by knowledge of global context and category relationship.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/JiYWS22,https://doi.org/10.1016/j.eswa.2022.118285
708,"Peng Peng,Kai-Fu Yang,Yong-Jie Li",Global-prior-guided fusion network for salient object detection.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/PengYL22,https://doi.org/10.1016/j.eswa.2022.116805
709,"Mehmet Emin Salman,Gözde Çakirsoy Çakar,Jahongir Azimjonov,Mustafa Kösem,Ismail Hakki Cedimoglu",Automated prostate cancer grading and diagnosis system using deep learning-based Yolo object detection algorithm.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/SalmanCAKC22,https://doi.org/10.1016/j.eswa.2022.117148
710,"Yi Wang,Syed Muhammad Arsalan Bashir,Mahrukh Khan,Qudrat Ullah,Rui Wang,Yilin Song,Zhe Guo,Yilong Niu",Remote sensing image super-resolution and object detection: Benchmark and state of the art.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/WangBKUWSGN22,https://doi.org/10.1016/j.eswa.2022.116793
711,"Kunfeng Wang,Yadong Wang,Shuqin Zhang,Yonglin Tian,Dazi Li",SLMS-SSD: Improving the balance of semantic and spatial information in object detection.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/WangWZTL22,https://doi.org/10.1016/j.eswa.2022.117682
712,"Jingyu Wu,Fuming Sun,Rui Xu,Jie Meng,Fasheng Wang",Aggregate interactive learning for RGB-D salient object detection.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/WuSXMW22,https://doi.org/10.1016/j.eswa.2022.116614
713,"Mahdi Yousefan,Hamid Esmaeili Najafabadi,Hossein Amirkhani,Henry Leung,Vahid Hajihashemi",Deep anomaly detection in hyperspectral images based on membership maps and object area filtering.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/YousefanNALH22,https://doi.org/10.1016/j.eswa.2021.116200
714,"Mathé T. Zeegers,Tristan van Leeuwen,Daniël Maria Pelt,Sophia Bethany Coban,Robert van Liere,Kees Joost Batenburg",A tomographic workflow to enable deep learning for X-ray based foreign object detection.,Expert Syst. Appl.,Journal Articles,2022,open,journals/eswa/ZeegersLPCLB22,https://doi.org/10.1016/j.eswa.2022.117768
715,"Lanyong Zhang,Chengyu Li,Hongfang Sun",Object detection/tracking toward underwater photographs by remotely operated vehicles (ROVs).,Future Gener. Comput. Syst.,Journal Articles,2022,closed,journals/fgcs/ZhangLS22,https://doi.org/10.1016/j.future.2021.07.011
716,"Tianyu Bai,Song Fu,Qing Yang",Privacy-Preserving Object Detection with Secure Convolutional Neural Networks for Vehicular Edge Computing.,Future Internet,Journal Articles,2022,open,journals/fi/BaiFY22,https://doi.org/10.3390/fi14110316
717,"Goutham Kallempudi,Khurram Azeem Hashmi,Alain Pagani,Marcus Liwicki,Didier Stricker,Muhammad Zeshan Afzal",Toward Semi-Supervised Graphical Object Detection in Document Images.,Future Internet,Journal Articles,2022,open,journals/fi/KallempudiHPLSA22,https://doi.org/10.3390/fi14060176
718,"Junda Li,Chunxu Zhang,Bo Yang 0002",Global Contextual Dependency Network for Object Detection.,Future Internet,Journal Articles,2022,open,journals/fi/LiZY22,https://doi.org/10.3390/fi14010027
719,"Zhiguo Zhou,Xinxin Hu,Zeming Li,Zhao Jing,Chong Qu",A Fusion Algorithm of Object Detection and Tracking for Unmanned Surface Vehicles.,Frontiers Neurorobotics,Journal Articles,2022,open,journals/finr/ZhouHLJQ22,https://doi.org/10.3389/fnbot.2022.808147
720,"Manuel Carranza-García,F. Javier Galán-Sales,José María Luna-Romera,José C. Riquelme",Object detection using depth completion and camera-LiDAR fusion for autonomous driving.,Integr. Comput. Aided Eng.,Journal Articles,2022,closed,journals/icae/Carranza-Garcia22,https://doi.org/10.3233/ICA-220681
721,"Gian Luca Foresti,Ivan Scagnetto",An integrated low-cost system for object detection in underwater environments.,Integr. Comput. Aided Eng.,Journal Articles,2022,closed,journals/icae/ForestiS22,https://doi.org/10.3233/ICA-220675
722,"Hyun-Seok Kim,Geon-Hwan Kim,You-Ze Cho",Prevention of smombie accidents using deep learning-based object detection.,ICT Express,Journal Articles,2022,open,journals/ict-express/KimKC22,https://doi.org/10.1016/j.icte.2022.07.001
723,"Caleb Tung,Abhinav Goel,Fischer Bordwell,Nick Eliopoulos,Xiao Hu 0004,Yung-Hsiang Lu,George K. Thiruvathukal",Why Accuracy is Not Enough: The Need for Consistency in Object Detection.,IEEE Multim.,Journal Articles,2022,closed,journals/ieeemm/TungGBEHLT22,https://doi.org/10.1109/MMUL.2022.3175239
724,"Fei Zhang,Ziyang Gao,Jiaming Huang,Peining Zhen,Hai-Bao Chen,Jie Yan",HFOD: A hardware-friendly quantization method for object detection on embedded FPGAs.,IEICE Electron. Express,Journal Articles,2022,open,journals/ieiceee/ZhangGHZCY22,https://doi.org/10.1587/elex.19.20220067
725,"Lukas Nakamura,Hiromitsu Awano",Temporal Ensemble SSDLite: Exploiting Temporal Correlation in Video for Accurate Object Detection.,IEICE Trans. Fundam. Electron. Commun. Comput. Sci.,Journal Articles,2022,closed,journals/ieiceta/NakamuraA22,https://doi.org/10.1587/transfun.2021eap1068
726,"Yanyan Zhang,Meiling Shen,Wensheng Yang",RMF-Net: Improving Object Detection with Multi-Scale Strategy.,IEICE Trans. Commun.,Journal Articles,2022,closed,journals/ieicetb/ZhangSY22,https://doi.org/10.1587/transcom.2021ebp3102
727,"Lijun Gou,Shengkai Wu,Jinrong Yang,Hangcheng Yu,Xiaoping Li",Gaussian guided IoU: A better metric for balanced learning on object detection.,IET Comput. Vis.,Journal Articles,2022,open,journals/iet-cvi/GouWYYL22,https://doi.org/10.1049/cvi2.12113
728,"Hong Qin,Yirong Wu,Fangmin Dong,Shuifa Sun",Dense sampling and detail enhancement network: Improved small object detection based on dense sampling and detail enhancement.,IET Comput. Vis.,Journal Articles,2022,closed,journals/iet-cvi/QinWDS22,https://doi.org/10.1049/cvi2.12089
729,"Zhongling Ruan,Jianzhong Cao,Hao Wang,Huinan Guo,Xin Yang",Adaptive feedback connection with a single-level feature for object detection.,IET Comput. Vis.,Journal Articles,2022,closed,journals/iet-cvi/RuanCWGY22,https://doi.org/10.1049/cvi2.12121
730,"Zhiqiang Xing,Xi Chen,Fengqian Pang",DD-YOLO: An object detection method combining knowledge distillation and Differentiable Architecture Search.,IET Comput. Vis.,Journal Articles,2022,open,journals/iet-cvi/XingCP22,https://doi.org/10.1049/cvi2.12097
731,"Jiawei Nian,Ping Wang,Haichang Gao,Xiaoyan Guo",A deep learning-based attack on text CAPTCHAs by using object detection techniques.,IET Inf. Secur.,Journal Articles,2022,open,journals/iet-ifs/NianWGG22,https://doi.org/10.1049/ise2.12047
732,"Jonathan Boisclair,Sousso Kelouwani,Follivi Kloutse Ayevide,Ali Akrem Amamou,Muhammad Zeshan Alam,Kodjo Agbossou",Attention transfer from human to neural networks for road object detection in winter.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/BoisclairKAAAA22,https://doi.org/10.1049/ipr2.12562
733,"Yongxiang Gu,Xiaolin Qin,Yuncong Peng,Lu Li 0001",Content-augmented feature pyramid network with light linear spatial transformers for object detection.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/GuQPL22,https://doi.org/10.1049/ipr2.12575
734,"Youngjun Kim,Hyekyoung Hwang,Jitae Shin",Robust object detection under harsh autonomous-driving environments.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/KimHS22,https://doi.org/10.1049/ipr2.12159
735,"Ya Liu,Fan Xu,Ziqi Pu,Xuyang Huang,Jun Chen,Shuning Shao",AC-SDBSCAN: Toward concealed object detection of passive terahertz images.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/LiuXPHCS22,https://doi.org/10.1049/ipr2.12390
736,"Zonglei Lyu,Dan Zhang,Jia Luo",A GPU-free real-time object detection method for apron surveillance video based on quantized MobileNet-SSD.,IET Image Process.,Journal Articles,2022,closed,journals/iet-ipr/LyuZL22,https://doi.org/10.1049/ipr2.12483
737,"Chunjie Ma,Li Zhuo 0001,Jiafeng Li,Yutong Zhang,Jing Zhang 0023",EAOD-Net: Effective anomaly object detection networks for X-ray images.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/MaZLZZ22,https://doi.org/10.1049/ipr2.12514
738,"Wang Pikun,Wu Ling,Qi Jiangxin,Dai Jiashuai",Unmanned aerial vehicles object detection based on image haze removal under sea fog conditions.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/PikunLJJ22,https://doi.org/10.1049/ipr2.12519
739,"Guanbo Wang,Hongwei Ding,Bo Li 0025,Rencan Nie,Yifan Zhao",Trident-YOLO: Improving the precision and speed of mobile device object detection.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/WangDLNZ22,https://doi.org/10.1049/ipr2.12340
740,"Tao Zeng,Feng Xu,Xin Lyu 0001,Xin Li 0090,Xinyuan Wang,Jiale Chen,Caifeng Wu",Feature difference for single-shot object detection.,IET Image Process.,Journal Articles,2022,closed,journals/iet-ipr/ZengXLLWCW22,https://doi.org/10.1049/ipr2.12601
741,"Guoqing Zhao,Tianyang Dong,Yiming Jiang",Corner-based object detection method for reactivating box constraints.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/ZhaoDJ22,https://doi.org/10.1049/ipr2.12576
742,"Xuan Zhu,Binbin Liang,Daoyong Fu,Guoxin Huang,Fan Yang,Wei Li 0075",Airport small object detection based on feature enhancement.,IET Image Process.,Journal Articles,2022,closed,journals/iet-ipr/ZhuLFHYL22,https://doi.org/10.1049/ipr2.12387
743,"Payal Mittal,Akashdeep Sharma,Raman Singh",A Feature Pyramid Based Multi-stage Framework for Object Detection in Low-altitude UAV Images.,Int. J. Artif. Intell. Tools,Journal Articles,2022,closed,journals/ijait/MittalSS22,https://doi.org/10.1142/S0218213022500282
744,"Jiajia Liao,Yujun Liu,Yingchao Piao,Jinhe Su,Guorong Cai,Yundong Wu",GLE-Net: A Global and Local Ensemble Network for Aerial Object Detection.,Int. J. Comput. Intell. Syst.,Journal Articles,2022,closed,journals/ijcisys/LiaoLPSCW22,https://doi.org/10.1007/s44196-021-00056-3
745,"Pei Zhou,Guanjun Liu,Jiacun Wang,Qianli Weng,Kaiwen Zhang 0010,Ziyuan Zhou",Lightweight unmanned aerial vehicle video object detection based on spatial-temporal correlation.,Int. J. Commun. Syst.,Journal Articles,2022,closed,journals/ijcomsys/ZhouLWWZZ22,https://doi.org/10.1002/dac.5334
746,"Ke Sun,Xiangfeng Luo,Liyan Ma,Shixiong Zhu",Prior distributions-based data augmentation for object detection.,Int. J. Comput. Sci. Eng.,Journal Articles,2022,closed,journals/ijcse/SunLMZ22,https://doi.org/10.1504/IJCSE.2022.120786
747,"Weixian Wan,Xiangfeng Luo,Liyan Ma,Shaorong Xie",Side-path FPN-based multi-scale object detection.,Int. J. Comput. Sci. Eng.,Journal Articles,2022,closed,journals/ijcse/WanLMX22,https://doi.org/10.1504/IJCSE.2022.120787
748,"Tankala Yuvaraj,Joseph K. Paul,Vazhora Malayil Manikandan",A content-based image retrieval scheme with object detection and quantised colour histogram.,Int. J. Comput. Sci. Eng.,Journal Articles,2022,closed,journals/ijcse/YuvarajPM22,https://doi.org/10.1504/IJCSE.2022.124558
749,"Xue Yang 0005,Junchi Yan",On the Arbitrary-Oriented Object Detection: Classification Based Approaches Revisited.,Int. J. Comput. Vis.,Journal Articles,2022,closed,journals/ijcv/YangY22,https://doi.org/10.1007/s11263-022-01593-w
750,"Xue Yang 0005,Junchi Yan",Correction to: On the Arbitrary-Oriented Object Detection: Classification Based Approaches Revisited.,Int. J. Comput. Vis.,Journal Articles,2022,closed,journals/ijcv/YangY22a,https://doi.org/10.1007/s11263-022-01618-4
751,"Wei Zhai,Hongchen Luo,Jing Zhang 0037,Yang Cao 0010,Dacheng Tao",One-Shot Object Affordance Detection in the Wild.,Int. J. Comput. Vis.,Journal Articles,2022,closed,journals/ijcv/ZhaiLZCT22,https://doi.org/10.1007/s11263-022-01642-4
752,"Zhaoxiang Zhang,Cong Pan,Junran Peng",Delving into the Effectiveness of Receptive Fields: Learning Scale-Transferrable Architectures for Practical Object Detection.,Int. J. Comput. Vis.,Journal Articles,2022,closed,journals/ijcv/ZhangPP22,https://doi.org/10.1007/s11263-021-01573-6
753,"Bashir Ghariba,Mohamed S. Shehata,Peter F. McGuire",Salient object detection using semantic segmentation technique.,Int. J. Comput. Vis. Robotics,Journal Articles,2022,closed,journals/ijcvr/GharibaSM22,https://doi.org/10.1504/IJCVR.2022.119240
754,"Liming Zhou,Xiaohan Rao,Yahui Li,Xianyu Zuo,Baojun Qiao,Yinghao Lin",A Lightweight Object Detection Method in Aerial Images Based on Dense Feature Fusion Path Aggregation Network.,ISPRS Int. J. Geo Inf.,Journal Articles,2022,open,journals/ijgi/ZhouRLZQL22,https://doi.org/10.3390/ijgi11030189
755,"Fen Cheng,Hao Cai",Deep learning-based object detection between train and rail transit platform door.,Int. J. Grid Util. Comput.,Journal Articles,2022,closed,journals/ijguc/ChengC22,https://doi.org/10.1504/IJGUC.2022.10051208
756,"Olaf Nowitzki,Corinna Engelhardt-Nowitzki,Martin L. Fiala,Wilfried Wöber",Optical Music Recognition of Printed White Mensural Notation: Conversion to Modern Notation Using Object Detection Mechanisms.,Int. J. Humanit. Arts Comput.,Journal Articles,2022,closed,journals/ijhac/NowitzkiEFW22,https://doi.org/10.3366/ijhac.2022.0275
757,"S. Priya,Manavalan Radhakrishnan",MSalp-Epi: multi-objective salp optimisation for epistasis detection in genome-wide association studies.,Int. J. Intell. Eng. Informatics,Journal Articles,2022,closed,journals/ijiei/PriyaR22,https://doi.org/10.1504/IJIEI.2022.123689
758,"Ravinder M.,Arunima Jaiswal,Shivani Gulati",Deep Learning-Based Object Detection in Diverse Weather Conditions.,Int. J. Intell. Inf. Technol.,Journal Articles,2022,closed,journals/ijiit/MJG22,https://doi.org/10.4018/ijiit.296236
759,"Shuyong Duan,Ningning Lu,Zhongwei Lyu,Guirong Liu,Bin Cao 0005",An anchor box setting technique based on differences between categories for object detection.,Int. J. Intell. Robotics Appl.,Journal Articles,2022,closed,journals/ijira/DuanLLL022,https://doi.org/10.1007/s41315-021-00176-1
760,"Kadam Vikas Samarthrao,Vandana Milind Rohokale",A hybrid meta-heuristic-based multi-objective feature selection with adaptive capsule network for automated email spam detection.,Int. J. Intell. Robotics Appl.,Journal Articles,2022,closed,journals/ijira/SamarthraoR22,https://doi.org/10.1007/s41315-021-00217-9
761,"Tianyu Du,Shouling Ji,Bo Wang,Sirui He,Jinfeng Li,Bo Li 0026,Tao Wei,Yunhan Jia,Raheem Beyah,Ting Wang 0006",DetectS ec: Evaluating the robustness of object detection models to adversarial attacks.,Int. J. Intell. Syst.,Journal Articles,2022,closed,journals/ijis/DuJWHLLWJBW22,https://doi.org/10.1002/int.22851
762,"Nu Wen,Renzhong Guo,Ding Ma 0002,Xiang Ye,Biao He",AIoU: Adaptive bounding box regression for accurate oriented object detection.,Int. J. Intell. Syst.,Journal Articles,2022,closed,journals/ijis/WenGMYH22,https://doi.org/10.1002/int.22646
763,"Zhaojian Yao,Luping Wang",Dual-branch mutual assistance network for salient object detection.,Int. J. Intell. Syst.,Journal Articles,2022,closed,journals/ijis/YaoW22,https://doi.org/10.1002/int.22654
764,"Masum Shah Junayed,Md Baharul Islam,Hassan Imani,Tarkan Aydin",PDS-Net: A novel point and depth-wise separable convolution for real-time object detection.,Int. J. Multim. Inf. Retr.,Journal Articles,2022,closed,journals/ijmir/JunayedIIA22,https://doi.org/10.1007/s13735-022-00229-6
765,"Hongbo Bi,Ranwan Wu,Ziqi Liu,Jiayuan Zhang,Cong Zhang,Tian-Zhu Xiang,Xiufang Wang",PSNet: Parallel symmetric network for RGB-T salient object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/BiWLZZXW22,https://doi.org/10.1016/j.neucom.2022.09.052
766,"Ze Chen 0001,Zhihang Fu,Jianqiang Huang,Mingyuan Tao,Shengyu Li,Rongxin Jiang,Xiang Tian 0002,Yaowu Chen,Xian-Sheng Hua 0001",Dynamic supervisor for cross-dataset object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChenFHTLJTCH22,https://doi.org/10.1016/j.neucom.2021.09.076
767,"Wenyu Chen,Peixuan Li,Huaici Zhao","MSL3D: 3D object detection from monocular, stereo and point cloud for autonomous driving.",Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChenLZ22,https://doi.org/10.1016/j.neucom.2022.04.075
768,"Kai Chen,Zerun Wang,Xueyang Wang,Dahan Gong,Longlong Yu,Yuchen Guo,Guiguang Ding",Towards real-time object detection in GigaPixel-level video.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChenWWGYGD22,https://doi.org/10.1016/j.neucom.2021.12.049
769,"Yamin Cheng,Hancong Duan,Chen Wang,Zhi Wang",Human-object interaction detection with depth-augmented clues.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChengDWW22,https://doi.org/10.1016/j.neucom.2022.05.014
770,"Huazhen Chu,Lisha Mo,Rongquan Wang,Tianyu Hu,Huimin Ma",Visibility of points: Mining occlusion cues for monocular 3D object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChuMWHM22,https://doi.org/10.1016/j.neucom.2022.06.099
771,"Fuchen Chu,Yanwei Pang,Jiale Cao,Jing Nie,Xuelong Li 0001",Improving 2D object detection with binocular images for outdoor surveillance.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/ChuPCNL22,https://doi.org/10.1016/j.neucom.2022.07.039
772,"Yaoyang Du,Fang Liu 0001,Licheng Jiao,Zehua Hao,Shuo Li 0010,Xu Liu,Jing Liu",Augmentative contrastive learning for one-shot object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/DuLJHLLL22,https://doi.org/10.1016/j.neucom.2022.09.125
773,"Keren Fu,Jing He,Xiao Yang",Few-shot learning-based RGB-D salient object detection: A case study.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/FuHY22,https://doi.org/10.1016/j.neucom.2022.09.019
774,"Shuqin Huang,Qiong Liu",Addressing scale imbalance for small object detection with dense detector.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/HuangL22,https://doi.org/10.1016/j.neucom.2021.11.107
775,"Junchu Huang,Shifu Shen,Zhiheng Zhou,Pengyu Zhang,Kefeng Fan",Discriminative distribution alignment for domain adaptive object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/HuangSZZF22,https://doi.org/10.1016/j.neucom.2021.12.009
776,"Yao Jiang,Wenbo Zhang,Keren Fu,Qijun Zhao",MEANet: Multi-modal edge-aware network for light field salient object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/JiangZFZ22,https://doi.org/10.1016/j.neucom.2022.03.056
777,"Xiao Jin,Chunle Guo,Zhen He,Jing Xu,Yongwei Wang,Yuting Su 0001",FCMNet: Frequency-aware cross-modality attention networks for RGB-D salient object detection.,Neurocomputing,Journal Articles,2022,closed,journals/ijon/JinGHXWS22,https://doi.org/10.1016/j.neucom.2022.04.015
